date,open,high,low,close
1613289600000,2.96630000,3.10000000,2.96000000,3.09990000
1613293200000,3.09270000,3.21000000,3.08240000,3.14800000
1613296800000,3.14820000,3.14900000,3.00000000,3.05500000
1613300400000,3.05470000,3.11760000,2.98800000,3.01340000
1613304000000,3.01340000,3.01450000,2.80000000,2.83190000
1613307600000,2.82850000,2.93990000,2.71170000,2.74000000
1613311200000,2.74300000,2.90060000,2.74000000,2.82160000
1613314800000,2.82160000,2.85640000,2.67200000,2.73460000
1613318400000,2.73440000,2.84920000,2.68510000,2.83630000
1613322000000,2.83300000,2.98000000,2.76990000,2.83150000
1613325600000,2.83780000,2.95900000,2.83100000,2.94030000
1613329200000,2.94970000,3.10000000,2.91000000,3.04640000
1613332800000,3.04650000,3.06020000,2.93500000,3.05520000
1613336400000,3.05520000,3.13000000,3.00000000,3.03230000
1613340000000,3.03240000,3.03840000,2.89660000,2.95690000
1613343600000,2.95750000,2.97400000,2.86000000,2.90440000
1613347200000,2.90000000,3.05060000,2.88020000,2.95050000
1613350800000,2.94770000,3.00180000,2.74000000,2.78760000
1613354400000,2.79000000,2.83010000,2.55260000,2.67510000
1613358000000,2.68000000,2.69270000,2.58330000,2.68830000
1613361600000,2.68630000,2.69550000,2.51000000,2.59070000
1613365200000,2.59680000,2.69900000,2.56760000,2.66720000
1613368800000,2.66000000,2.75730000,2.59000000,2.65110000
1613372400000,2.65200000,2.73900000,2.63990000,2.69400000
1613376000000,2.69410000,2.77910000,2.67500000,2.75140000
1613379600000,2.75140000,2.83000000,2.73980000,2.74350000
1613383200000,2.74810000,2.75600000,2.70850000,2.74700000
1613386800000,2.74670000,2.75000000,2.66980000,2.70500000
1613390400000,2.70500000,3.04030000,2.66360000,2.91480000
1613394000000,2.91470000,2.94540000,2.85010000,2.92090000
1613397600000,2.92190000,3.03000000,2.77210000,2.81060000
1613401200000,2.81100000,2.90000000,2.80360000,2.86000000
1613404800000,2.86290000,2.90920000,2.80660000,2.82700000
1613408400000,2.82690000,2.89000000,2.79000000,2.80490000
1613412000000,2.80490000,2.83500000,2.79000000,2.83400000
1613415600000,2.83010000,2.85200000,2.79000000,2.82990000
1613419200000,2.82700000,2.94400000,2.80780000,2.89580000
1613422800000,2.90070000,2.93960000,2.71700000,2.71710000
1613426400000,2.72000000,2.80000000,2.69240000,2.76140000
1613430000000,2.76140000,2.81600000,2.67340000,2.74000000
1613433600000,2.73900000,2.78000000,2.65000000,2.78000000
1613437200000,2.78000000,2.89290000,2.73000000,2.84720000
1613440800000,2.85360000,2.86010000,2.76880000,2.83640000
1613444400000,2.83630000,2.94000000,2.82780000,2.90000000
1613448000000,2.90100000,2.90100000,2.81430000,2.85450000
1613451600000,2.85100000,2.90600000,2.84120000,2.86070000
1613455200000,2.86170000,2.94010000,2.85000000,2.92180000
1613458800000,2.92020000,2.93000000,2.86090000,2.88180000
1613462400000,2.87900000,2.91950000,2.86200000,2.87750000
1613466000000,2.88560000,3.00000000,2.87000000,2.94280000
1613469600000,2.94590000,3.03040000,2.91000000,2.97780000
1613473200000,2.98250000,3.18000000,2.97770000,3.04000000
1613476800000,3.04000000,3.07500000,2.88000000,2.90970000
1613480400000,2.90980000,3.02860000,2.90900000,2.98000000
1613484000000,2.97240000,2.97990000,2.90000000,2.92500000
1613487600000,2.93140000,3.00000000,2.90000000,2.90000000
1613491200000,2.90010000,2.92000000,2.73110000,2.73110000
1613494800000,2.73990000,2.85440000,2.73110000,2.82790000
1613498400000,2.82760000,2.85000000,2.75000000,2.82400000
1613502000000,2.82050000,2.86680000,2.80000000,2.82690000
1613505600000,2.82660000,2.83000000,2.76000000,2.81180000
1613509200000,2.81190000,2.82920000,2.76060000,2.81210000
1613512800000,2.81760000,2.92200000,2.80000000,2.87320000
1613516400000,2.88100000,2.88800000,2.83890000,2.87600000
1613520000000,2.87590000,2.99000000,2.87120000,2.92500000
1613523600000,2.92500000,2.97280000,2.85770000,2.87490000
1613527200000,2.87020000,2.91600000,2.84000000,2.90060000
1613530800000,2.90110000,2.94000000,2.77770000,2.78790000
1613534400000,2.78780000,2.81120000,2.74000000,2.77290000
1613538000000,2.76610000,2.82000000,2.74860000,2.78990000
1613541600000,2.78900000,2.81770000,2.76120000,2.80300000
1613545200000,2.80430000,2.89420000,2.80000000,2.85000000
1613548800000,2.85010000,2.88960000,2.83000000,2.85600000
1613552400000,2.86290000,2.92420000,2.85600000,2.91350000
1613556000000,2.91160000,2.94000000,2.86080000,2.89000000
1613559600000,2.89500000,2.94600000,2.86020000,2.89120000
1613563200000,2.89150000,2.91720000,2.86120000,2.89000000
1613566800000,2.88800000,2.90130000,2.86000000,2.89890000
1613570400000,2.89760000,2.96000000,2.87000000,2.93240000
1613574000000,2.93240000,2.95780000,2.88780000,2.94800000
1613577600000,2.94640000,3.13510000,2.92140000,3.10010000
1613581200000,3.10300000,3.11630000,2.95090000,3.03660000
1613584800000,3.03660000,3.08710000,3.00560000,3.07060000
1613588400000,3.07060000,3.10000000,3.02250000,3.04890000
1613592000000,3.04500000,3.28380000,3.04220000,3.22500000
1613595600000,3.22430000,3.37000000,3.15000000,3.27800000
1613599200000,3.27360000,3.28800000,3.12640000,3.22720000
1613602800000,3.22960000,3.26000000,3.16990000,3.24240000
1613606400000,3.24240000,3.34000000,3.23000000,3.32510000
1613610000000,3.32160000,3.32740000,3.15000000,3.17410000
1613613600000,3.17320000,3.20600000,3.10970000,3.18230000
1613617200000,3.18220000,3.18500000,3.06300000,3.11520000
1613620800000,3.11110000,3.14640000,3.03940000,3.13610000
1613624400000,3.14000000,3.22000000,3.09000000,3.11570000
1613628000000,3.11190000,3.20040000,3.10700000,3.18400000
1613631600000,3.18400000,3.20400000,3.05710000,3.12000000
1613635200000,3.12000000,3.13660000,3.06830000,3.06980000
1613638800000,3.06980000,3.10380000,3.02790000,3.10380000
1613642400000,3.10400000,3.12800000,3.06100000,3.07710000
1613646000000,3.07700000,3.11000000,3.05400000,3.06530000
1613649600000,3.06850000,3.08000000,2.99470000,3.04530000
1613653200000,3.04980000,3.18140000,3.03230000,3.18000000
1613656800000,3.18000000,3.23200000,3.12360000,3.20090000
1613660400000,3.20400000,3.21510000,3.10000000,3.12670000
1613664000000,3.12660000,3.19850000,3.11540000,3.14000000
1613667600000,3.14010000,3.17500000,3.06870000,3.09990000
1613671200000,3.09720000,3.12200000,3.06030000,3.08720000
1613674800000,3.09200000,3.13470000,3.06890000,3.10350000
1613678400000,3.10350000,3.10350000,3.06500000,3.07270000
1613682000000,3.07730000,3.12000000,3.06800000,3.08180000
1613685600000,3.08180000,3.10670000,3.06000000,3.08190000
1613689200000,3.08280000,3.14440000,3.06400000,3.09200000
